t=2026-03-13T18:26:38+0100 lvl=info msg="no configuration paths supplied"
t=2026-03-13T18:26:38+0100 lvl=info msg="using configuration at default config path" path="/Users/tychiqueesteve/Library/Application Support/ngrok/ngrok.yml"
t=2026-03-13T18:26:38+0100 lvl=info msg="open config file" path="/Users/tychiqueesteve/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=cafe4fcec940 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=11e20b29d461 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=e16924ca4d9a l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=0888de1cf985 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=5fd0ac041c4d l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=a790a98a00aa l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=fca9ca74402d l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=dc88db997eaa l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=7acf6296a410 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:20+0100 lvl=info msg="join connections" obj=join id=bb93bb66d9b7 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:21+0100 lvl=info msg="join connections" obj=join id=bccce5a14b5a l=[::1]:3000 r=176.133.235.172:63416
t=2026-03-13T18:37:22+0100 lvl=info msg="join connections" obj=join id=e185d21b87b1 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:22+0100 lvl=info msg="join connections" obj=join id=ee5faacce134 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:22+0100 lvl=info msg="join connections" obj=join id=4d12c94bc92c l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:22+0100 lvl=info msg="join connections" obj=join id=9a5798ec4fd9 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:22+0100 lvl=info msg="join connections" obj=join id=6f440b9d0dff l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:22+0100 lvl=info msg="join connections" obj=join id=b39dab6f8220 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:29+0100 lvl=info msg="join connections" obj=join id=c401269bde56 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T22:03:01+0100 lvl=info msg="join connections" obj=join id=4223c638d01a l=[::1]:3000 r=176.133.235.172:64346
t=2026-03-13T22:03:02+0100 lvl=info msg="join connections" obj=join id=8247c22ca50c l=[::1]:3000 r=176.133.235.172:64346
t=2026-03-13T22:14:09+0100 lvl=info msg="join connections" obj=join id=bf1285509951 l=[::1]:3000 r=176.133.235.172:64453
t=2026-03-13T23:09:55+0100 lvl=info msg="join connections" obj=join id=fe59e5350f2d l=[::1]:3000 r=176.133.235.172:64948
t=2026-03-13T23:12:56+0100 lvl=info msg="join connections" obj=join id=616c0dcf216d l=[::1]:3000 r=176.133.235.172:64948
t=2026-03-13T23:18:33+0100 lvl=info msg="join connections" obj=join id=366ac69ba24b l=[::1]:3000 r=176.133.235.172:65055
t=2026-03-13T23:23:31+0100 lvl=info msg="join connections" obj=join id=610f6fb37594 l=[::1]:3000 r=176.133.235.172:65055
t=2026-03-14T00:20:42+0100 lvl=info msg="join connections" obj=join id=9b6877306c1c l=[::1]:3000 r=176.133.235.172:65393
t=2026-03-14T00:26:39+0100 lvl=info msg="update available" obj=updater
t=2026-03-14T00:28:25+0100 lvl=info msg="join connections" obj=join id=0bd92dadd8c6 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:12+0100 lvl=info msg="join connections" obj=join id=f96451836ad1 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:14+0100 lvl=info msg="join connections" obj=join id=97841137c336 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:15+0100 lvl=info msg="join connections" obj=join id=0d8290cab93c l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:15+0100 lvl=info msg="join connections" obj=join id=a26f0b6118f7 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:17+0100 lvl=info msg="join connections" obj=join id=a74b6ae0a291 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:17+0100 lvl=info msg="join connections" obj=join id=b221a9bc4e60 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:17+0100 lvl=info msg="join connections" obj=join id=2ec6316c3f0e l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:24+0100 lvl=info msg="join connections" obj=join id=5c7439b3315b l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:24+0100 lvl=info msg="join connections" obj=join id=b4e635e1b370 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:24+0100 lvl=info msg="join connections" obj=join id=8e87e22c584d l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:24+0100 lvl=info msg="join connections" obj=join id=6592a6b603c9 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:27+0100 lvl=info msg="join connections" obj=join id=eea478d136cf l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:27+0100 lvl=info msg="join connections" obj=join id=a102ccf5d487 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:32+0100 lvl=info msg="join connections" obj=join id=f58b15d9e473 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:46+0100 lvl=info msg="join connections" obj=join id=7c2a310f5945 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:56+0100 lvl=info msg="join connections" obj=join id=638917e9c226 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:57+0100 lvl=info msg="join connections" obj=join id=086af33e6339 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:31:04+0100 lvl=info msg="join connections" obj=join id=e4666e265e96 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:31:51+0100 lvl=info msg="join connections" obj=join id=2e32b8d5776b l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:34:14+0100 lvl=info msg="join connections" obj=join id=b221c9ba9152 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:35:03+0100 lvl=info msg="join connections" obj=join id=4ea65bcdfac6 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:35:04+0100 lvl=info msg="join connections" obj=join id=d9916e637c98 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:35:14+0100 lvl=info msg="join connections" obj=join id=e242c25e39e8 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:35:17+0100 lvl=info msg="join connections" obj=join id=1c88ae6003f1 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:35:24+0100 lvl=info msg="join connections" obj=join id=1d0ac98509ee l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:24+0100 lvl=info msg="join connections" obj=join id=1272d6afcfdd l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:24+0100 lvl=info msg="join connections" obj=join id=ee2ab711b351 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:24+0100 lvl=info msg="join connections" obj=join id=fcbe4f14ccd5 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:24+0100 lvl=info msg="join connections" obj=join id=afd960ea725c l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:24+0100 lvl=info msg="join connections" obj=join id=6a0ccf5b6cc9 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:24+0100 lvl=info msg="join connections" obj=join id=23cdc8d53dab l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:24+0100 lvl=info msg="join connections" obj=join id=d9a0449d6852 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:24+0100 lvl=info msg="join connections" obj=join id=aebcb256b90d l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:27+0100 lvl=info msg="join connections" obj=join id=18bf38dc8111 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:27+0100 lvl=info msg="join connections" obj=join id=15cb28f14a44 l=[::1]:3000 r=176.133.235.172:49551
t=2026-03-14T00:35:28+0100 lvl=info msg="join connections" obj=join id=687f4363266d l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:28+0100 lvl=info msg="join connections" obj=join id=094ec71fd3c7 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:28+0100 lvl=info msg="join connections" obj=join id=3bd5a9d9341b l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:28+0100 lvl=info msg="join connections" obj=join id=158f2974bbbf l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:36+0100 lvl=info msg="join connections" obj=join id=a17d666415ef l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:36+0100 lvl=info msg="join connections" obj=join id=a64ccb326628 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:40+0100 lvl=info msg="join connections" obj=join id=a6372416857a l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:41+0100 lvl=info msg="join connections" obj=join id=c27a2bd4652b l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:35:42+0100 lvl=info msg="join connections" obj=join id=9eec7cba8528 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:36:17+0100 lvl=info msg="join connections" obj=join id=c643610895b8 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:36:18+0100 lvl=info msg="join connections" obj=join id=e20fc5b45881 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:36:18+0100 lvl=info msg="join connections" obj=join id=6077e4eca4dd l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:36:31+0100 lvl=info msg="join connections" obj=join id=fc9567b1b8ea l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:36:31+0100 lvl=info msg="join connections" obj=join id=3399a42a26e0 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:36:31+0100 lvl=info msg="join connections" obj=join id=7b4ba1526724 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:36:32+0100 lvl=info msg="join connections" obj=join id=7d0d7f8ec05a l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:36:44+0100 lvl=info msg="join connections" obj=join id=65894117e6f0 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:36:44+0100 lvl=info msg="join connections" obj=join id=fa5faa242900 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:36:44+0100 lvl=info msg="join connections" obj=join id=9f3ba1ebfc1a l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:36:47+0100 lvl=info msg="join connections" obj=join id=082da3d4d788 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:36:51+0100 lvl=info msg="join connections" obj=join id=a5ec311a09f6 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:36:51+0100 lvl=info msg="join connections" obj=join id=0e03495b0108 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:37:11+0100 lvl=info msg="join connections" obj=join id=88aeaf15c3c2 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:37:11+0100 lvl=info msg="join connections" obj=join id=5569e86e1de9 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:37:13+0100 lvl=info msg="join connections" obj=join id=544857dc694b l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:37:22+0100 lvl=info msg="join connections" obj=join id=b1f41bbf91b8 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:37:23+0100 lvl=info msg="join connections" obj=join id=c5882fb52638 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:37:23+0100 lvl=info msg="join connections" obj=join id=21b5c702b8fd l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:37:25+0100 lvl=info msg="join connections" obj=join id=bae57f1e9741 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:38:19+0100 lvl=info msg="join connections" obj=join id=be7bfb3f69aa l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:42:45+0100 lvl=info msg="join connections" obj=join id=bfcb6b0969e9 l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:42:55+0100 lvl=info msg="join connections" obj=join id=ea16c8eadcec l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:43:00+0100 lvl=info msg="join connections" obj=join id=e96bcd37f4fb l=[::1]:3000 r=176.133.235.172:49521
t=2026-03-14T00:52:59+0100 lvl=info msg="join connections" obj=join id=80c9bea50335 l=[::1]:3000 r=176.133.235.172:54113
t=2026-03-14T00:54:25+0100 lvl=info msg="join connections" obj=join id=e51c87f16a66 l=[::1]:3000 r=176.133.235.172:54113
t=2026-03-14T01:02:42+0100 lvl=info msg="join connections" obj=join id=0d55f5d40932 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:03:07+0100 lvl=info msg="join connections" obj=join id=f5340ab25163 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:03:07+0100 lvl=info msg="join connections" obj=join id=452ba3b2edbf l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:03:11+0100 lvl=info msg="join connections" obj=join id=c17dede5e76a l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:03:41+0100 lvl=info msg="join connections" obj=join id=962c7ab9251f l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:03:51+0100 lvl=info msg="join connections" obj=join id=5c520408f692 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:11+0100 lvl=info msg="join connections" obj=join id=2406c9d557f3 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:25+0100 lvl=info msg="join connections" obj=join id=21d89e975a5e l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:26+0100 lvl=info msg="join connections" obj=join id=a84b193c6a32 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:26+0100 lvl=info msg="join connections" obj=join id=e4d39e2bdd0f l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:26+0100 lvl=info msg="join connections" obj=join id=6ee4d2929971 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:26+0100 lvl=info msg="join connections" obj=join id=765932eb6020 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:26+0100 lvl=info msg="join connections" obj=join id=a9c52a7f1505 l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:26+0100 lvl=info msg="join connections" obj=join id=6659c810ecec l=[::1]:3000 r=176.133.235.172:54597
t=2026-03-14T01:04:26+0100 lvl=info msg="join connections" obj=join id=dc2d72fa306d l=[::1]:3000 r=176.133.235.172:54597
